Node name	Width	Height	X	Y
o210915	1206	2856	0	0
o210916	1206	2856	1206	0
o210917	1206	2856	2412	0
o210918	1206	2856	3618	0
o210927	701	2856	4824	0
o210920	276	2196	5525	0
o210922	276	2196	5801	0
o211414	140	2172	6077	0
o211416	140	2172	6217	0
o211418	140	2172	6357	0
o211420	140	2172	6497	0
o210904	500	2136	6637	0
o210905	500	2136	7137	0
o210906	500	2136	7637	0
o210907	500	2136	0	2856
o210908	500	2136	500	2856
o210909	500	2136	1000	2856
o210911	164	2136	1500	2856
o210912	164	2136	1664	2856
o210913	500	2136	1828	2856
o210914	500	2136	2328	2856
o210924	164	2136	2828	2856
o210925	164	2136	2992	2856
o211415	108	2136	3156	2856
o211417	108	2136	3264	2856
o211419	108	2136	3372	2856
o211421	108	2136	3480	2856
o211423	511	2136	3588	2856
o211424	511	2136	4099	2856
o211425	511	2136	4610	2856
o211426	511	2136	5121	2856
o211427	511	2136	5632	2856
o211428	511	2136	6143	2856
o211429	511	2136	6654	2856
o211430	511	2136	7165	2856
o211431	276	2136	7676	2856
o211432	276	2136	7952	2856
o211433	80	2136	8228	2856
o211435	164	2136	8308	2856
o211436	164	2136	0	4992
o211437	164	2136	164	4992
o211438	164	2136	328	4992
o211439	164	2136	492	4992
o211440	164	2136	656	4992
o211441	80	2136	820	4992
o210921	108	1968	900	4992
o210923	108	1968	1008	4992
o210930	516	1692	1116	4992
o211442	720	1056	1632	4992
o211443	720	1056	2352	4992
o210910	276	1044	3072	4992
o210919	80	1044	3348	4992
o210926	276	1044	3428	4992
o210931	80	1044	3704	4992
o211422	80	1020	3784	4992
o211434	80	1020	3864	4992
o210928	572	1008	3944	4992
o211412	792	1008	4516	4992
o211413	792	1008	5308	4992
o211444	1048	816	6100	4992
o211445	1048	816	7148	4992
o210932	72	432	8196	4992
o210933	72	432	8268	4992
o210934	72	432	8340	4992
o210935	72	432	0	7128
o210936	72	432	72	7128
o210937	72	432	144	7128
o210943	72	432	216	7128
o210955	72	432	288	7128
o210956	72	432	360	7128
o210957	72	432	432	7128
o210958	72	432	504	7128
o210960	72	432	576	7128
o211025	72	432	648	7128
o211026	72	432	720	7128
o211027	72	432	792	7128
o211028	72	432	864	7128
o211029	72	432	936	7128
o211030	72	432	1008	7128
o211031	72	432	1080	7128
o211032	72	432	1152	7128
o211033	72	432	1224	7128
o211034	72	432	1296	7128
o211035	72	432	1368	7128
o211036	72	432	1440	7128
o211037	72	432	1512	7128
o211038	72	432	1584	7128
o211039	72	432	1656	7128
