Node name	Width	Height	X	Y
o278138	500	2196	0	0
o278139	500	2196	500	0
o278142	500	2196	1000	0
o278143	500	2196	1500	0
o278146	500	2196	2000	0
o278147	500	2196	2500	0
o278150	500	2196	3000	0
o278151	500	2196	3500	0
o278154	500	2196	4000	0
o278133	500	2136	4500	0
o278140	276	1968	5000	0
o278141	276	1968	5276	0
o278144	276	1968	5552	0
o278145	276	1968	5828	0
o278148	276	1968	0	2196
o278149	276	1968	276	2196
o278152	276	1968	552	2196
o278153	276	1968	828	2196
o278155	276	1968	1104	2196
o278134	399	1800	1380	2196
o278132	332	1044	1779	2196
o278135	164	1044	2111	2196
o278136	80	1020	2275	2196
o278137	164	1020	2355	2196
o278156	108	1020	2519	2196
o278157	108	1020	2627	2196
o278158	108	1020	2735	2196
o278159	108	1020	2843	2196
o278160	108	1020	2951	2196
o278161	1048	816	3059	2196
o278162	1048	816	4107	2196
o277604	72	432	5155	2196
o277605	72	432	5227	2196
o277606	72	432	5299	2196
o277607	72	432	5371	2196
o277608	72	432	5443	2196
o277609	72	432	5515	2196
o277612	72	432	5587	2196
o277615	72	432	5659	2196
o277618	72	432	5731	2196
o277619	72	432	5803	2196
o277623	72	432	5875	2196
o277624	72	432	5947	2196
o277627	72	432	6019	2196
o277628	72	432	6091	2196
o277629	72	432	6163	2196
o277632	72	432	6235	2196
o277633	72	432	0	4164
o277634	72	432	72	4164
o277637	72	432	144	4164
o277638	72	432	216	4164
o277647	72	432	288	4164
o277648	72	432	360	4164
o277649	72	432	432	4164
o277650	72	432	504	4164
o277653	72	432	576	4164
o277654	72	432	648	4164
o277655	72	432	720	4164
o277656	72	432	792	4164
o277665	72	432	864	4164
o277666	72	432	936	4164
o277667	72	432	1008	4164
o277668	72	432	1080	4164
o277669	72	432	1152	4164
o277670	72	432	1224	4164
o277671	72	432	1296	4164
o277672	72	432	1368	4164
o277673	72	432	1440	4164
o277674	72	432	1512	4164
o277675	72	432	1584	4164
o277676	72	432	1656	4164
o277677	72	432	1728	4164
o277678	72	432	1800	4164
o277679	72	432	1872	4164
o277680	72	432	1944	4164
o277681	72	432	2016	4164
o277682	72	432	2088	4164
o277683	72	432	2160	4164
o277684	72	432	2232	4164
o277685	72	432	2304	4164
o277686	72	432	2376	4164
o277687	72	432	2448	4164
o277688	72	432	2520	4164
o277689	72	432	2592	4164
o277690	72	432	2664	4164
o277691	72	432	2736	4164
o277692	72	432	2808	4164
o277693	72	432	2880	4164
o277694	72	432	2952	4164
o277695	72	432	3024	4164
o277696	72	432	3096	4164
o277697	72	432	3168	4164
o277698	72	432	3240	4164
o277699	72	432	3312	4164
o277700	72	432	3384	4164
o277701	72	432	3456	4164
o277702	72	432	3528	4164
o277703	72	432	3600	4164
o277704	72	432	3672	4164
o277705	72	432	3744	4164
o277706	72	432	3816	4164
o277707	72	432	3888	4164
o277708	72	432	3960	4164
o277709	72	432	4032	4164
o277710	72	432	4104	4164
o277711	72	432	4176	4164
o277712	72	432	4248	4164
o277713	72	432	4320	4164
o277714	72	432	4392	4164
o277715	72	432	4464	4164
o277716	72	432	4536	4164
o277717	72	432	4608	4164
o277718	72	432	4680	4164
o277719	72	432	4752	4164
o277720	72	432	4824	4164
o277721	72	432	4896	4164
o277722	72	432	4968	4164
o277723	72	432	5040	4164
o277724	72	432	5112	4164
o277726	72	432	5184	4164
o277727	72	432	5256	4164
o277728	72	432	5328	4164
o277729	72	432	5400	4164
o277730	72	432	5472	4164
o277731	72	432	5544	4164
o277732	72	432	5616	4164
o277743	72	432	5688	4164
o277744	72	432	5760	4164
o277745	72	432	5832	4164
o277746	72	432	5904	4164
o277747	72	432	5976	4164
o277751	72	432	6048	4164
o277752	72	432	6120	4164
o277754	72	432	6192	4164
o277756	72	432	6264	4164
o277757	72	432	0	4596
o277758	72	432	72	4596
o277759	72	432	144	4596
o277760	72	432	216	4596
o277761	72	432	288	4596
o277762	72	432	360	4596
o277763	72	432	432	4596
o277764	72	432	504	4596
o277765	72	432	576	4596
o277766	72	432	648	4596
o277767	72	432	720	4596
o277768	72	432	792	4596
o277769	72	432	864	4596
o277770	72	432	936	4596
o277771	72	432	1008	4596
o277772	72	432	1080	4596
o277773	72	432	1152	4596
o277774	72	432	1224	4596
o277775	72	432	1296	4596
o277776	72	432	1368	4596
o277777	72	432	1440	4596
o277778	72	432	1512	4596
o277779	72	432	1584	4596
o277817	72	432	1656	4596
o277821	72	432	1728	4596
o277823	72	432	1800	4596
o277825	72	432	1872	4596
